Track Name,Artist,Total Streams
Rockin' Around The Christmas Tree,Brenda Lee,42740474.0
All I Want for Christmas Is You,Mariah Carey,41624531.0
Jingle Bell Rock,Bobby Helms,39430907.0
It's the Most Wonderful Time of the Year,Andy Williams,37329866.0
Last Christmas,Wham!,35018784.0
Santa Tell Me,Ariana Grande,34376427.0
DÁKITI,Bad Bunny,32033146.0
It's Beginning to Look a Lot like Christmas,Michael Bublé,31474371.0
34+35,Ariana Grande,29012406.0
positions,Ariana Grande,28637985.0
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,28180674.0
Mood (feat. iann dior),24kGoldn,27957207.0
Underneath the Tree,Kelly Clarkson,27182931.0
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,25109774.0
A Holly Jolly Christmas - Single Version,Burl Ives,25060518.0
Feliz Navidad,José Feliciano,24401275.0
Body,Megan Thee Stallion,23799325.0
The Christmas Song (Merry Christmas To You),Nat King Cole,23797845.0
willow,Taylor Swift,23665075.0
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,23126030.0
Therefore I Am,Billie Eilish,22354877.0
HOLIDAY,Lil Nas X,22304955.0
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,22262194.0
WAP (feat. Megan Thee Stallion),Cardi B,22192339.0
Whoopty,CJ,22146436.0
Mistletoe,Justin Bieber,21636220.0
WITHOUT YOU,The Kid LAROI,21279383.0
Blinding Lights,The Weeknd,21078594.0
Holly Jolly Christmas,Michael Bublé,20919820.0
What You Know Bout Love,Pop Smoke,20420235.0
Laugh Now Cry Later (feat. Lil Durk),Drake,20014551.0
champagne problems,Taylor Swift,19821706.0
Do They Know It's Christmas? - 1984 Version,Band Aid,19495916.0
Sleigh Ride,The Ronettes,18664472.0
ROCKSTAR (feat. Roddy Ricch),DaBaby,18232021.0
White Christmas,Bing Crosby,18189634.0
Wishing Well,Juice WRLD,17979742.0
‘tis the damn season,Taylor Swift,16921447.0
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,16914024.0
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,16772407.0
pov,Ariana Grande,16739695.0
Come & Go (with Marshmello),Juice WRLD,16735328.0
gold rush,Taylor Swift,16529876.0
Blue Christmas,Elvis Presley,16522239.0
Run Rudolph Run - Single Version,Chuck Berry,16461960.0
"no body, no crime (feat. HAIM)",Taylor Swift,16431177.0
Levitating (feat. DaBaby),Dua Lipa,16140145.0
Santa Claus Is Coming To Town,The Jackson 5,15852702.0
All Girls Are The Same,Juice WRLD,15821553.0
LA NOCHE DE ANOCHE,Bad Bunny,15809572.0
Sweater Weather,The Neighbourhood,15773119.0
Heather,Conan Gray,15717738.0
Blueberry Faygo,Lil Mosey,15403250.0
Tequila Shots,Kid Cudi,15339936.0
The Box,Roddy Ricch,14983829.0
Happy Xmas (War Is Over) - Remastered 2010,John Lennon,14962291.0
Lucid Dreams,Juice WRLD,14740147.0
SO DONE,The Kid LAROI,14469035.0
tolerate it,Taylor Swift,14422223.0
Prisoner (feat. Dua Lipa),Miley Cyrus,14267049.0
Christmas (Baby Please Come Home),Darlene Love,14039178.0
Robbery,Juice WRLD,14028973.0
you broke me first,Tate McRae,13969648.0
Lonely (with benny blanco),Justin Bieber,13899273.0
Forever After All,Luke Combs,13383766.0
Watermelon Sugar,Harry Styles,13310465.0
happiness,Taylor Swift,13293940.0
Reminds Me Of You,Juice WRLD,13168149.0
my ex's best friend (with blackbear),Machine Gun Kelly,13146767.0
Carol of the Bells,Mykola Dmytrovych Leontovych,13073646.0
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,13052464.0
Put Your Records On,Ritt Momney,13037210.0
Dynamite,BTS,13016875.0
"Baby, It's Cold Outside",Dean Martin,12969533.0
Circles,Post Malone,12923171.0
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,12756837.0
Joy To The World,Nat King Cole,12751864.0
ivy,Taylor Swift,12724458.0
Holy (feat. Chance The Rapper),Justin Bieber,12703498.0
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,12693454.0
Runnin,21 Savage,12648673.0
